street_predir,street_name,street_suffix,street_postdir
W,RUSCOMB,ST,
E,RUSH,ST,
W,RUSH,ST,
E,RUSSELL,ST,
W,RUSSELL,ST,
N,SAINT BERNARD,ST,
S,SAINT BERNARD,ST,
N,SALFORD,ST,
S,SALFORD,ST,
N,SARTAIN,ST,
S,SARTAIN,ST,
S,SCHELL,ST,
E,SCHILLER,ST,
W,SCHILLER,ST,
E,SCHOOL HOUSE,LN,
W,SCHOOL HOUSE,LN,
N,SCHUYLKILL,AVE,W
S,SCHUYLKILL,AVE,W
N,SCHUYLKILL RIVER,TRL,
S,SCHUYLKILL RIVER,TRL,
E,SEDGLEY,AVE,
W,SEDGLEY,AVE,
E,SEDGWICK,ST,
W,SEDGWICK,ST,
E,SELTZER,ST,
W,SELTZER,ST,
E,SERGEANT,ST,
W,SERGEANT,ST,
E,SEYMOUR,ST,
W,SEYMOUR,ST,
E,SHARPNACK,ST,
W,SHARPNACK,ST,
N,SHEDWICK,ST,
S,SHEDWICK,ST,
E,SHELDON,ST,
W,SHELDON,ST,
N,SHERIDAN,ST,
S,SHERIDAN,ST,
N,SICKELS,ST,
S,SICKELS,ST,
E,SILVER,ST,
W,SILVER,ST,
N,SIMPSON,ST,
S,SIMPSON,ST,
N,SMEDLEY,ST,
S,SMEDLEY,ST,
E,SOMERSET,ST,
W,SOMERSET,ST,
E,SOMERVILLE,AVE,
W,SOMERVILLE,AVE,
E,SOUTHAMPTON,AVE,
W,SOUTHAMPTON,AVE,
N,SPANGLER,ST,
S,SPANGLER,ST,
E,SPENCER,AVE,
W,SPENCER,AVE,
E,SPRINGER,ST,
W,SPRINGER,ST,
E,SPRINGFIELD,AVE,
W,SPRINGFIELD,AVE,
E,STAFFORD,ST,
W,STAFFORD,ST,
N,STANLEY,ST,
S,STANLEY,ST,
N,STATES,DR,
N,STATION,LN,
E,STELLA,ST,
W,STELLA,ST,
E,STERNER,ST,
W,STERNER,ST,
E,STILES,ST,
W,STILES,ST,
N,STILLMAN,ST,
S,STILLMAN,ST,
E,SUNSET,AVE,
W,SUNSET,AVE,
E,SUSQUEHANNA,AVE,
W,SUSQUEHANNA,AVE,
N,SWANSON,ST,
S,SWANSON,ST,
N,SYDENHAM,ST,
S,SYDENHAM,ST,
E,SYLVANIA,ST,
W,SYLVANIA,ST,
E,TABOR,RD,
W,TABOR,RD,
N,TANEY,ST,
S,TANEY,ST,
N,TAYLOR,ST,
S,TAYLOR,ST,
W,TELNER,ST,
E,THAYER,ST,
W,THAYER,ST,
E,THELMA,ST,
W,THELMA,ST,
E,THOMPSON,ST,
W,THOMPSON,ST,
E,TIOGA,ST,
W,TIOGA,ST,
E,TORONTO,ST,
W,TORONTO,ST,
E,TUCKER,ST,
W,TUCKER,ST,
E,TULPEHOCKEN,ST,
W,TULPEHOCKEN,ST,
E,TUSCULUM,ST,
W,TUSCULUM,ST,
N,UBER,ST,
S,UBER,ST,
E,UPSAL,ST,
W,UPSAL,ST,
N,VAN PELT,ST,
S,VAN PELT,ST,
E,VENANGO,ST,
W,VENANGO,ST,
E,VICTORIA,ST,
W,VICTORIA,ST,
N,VOGDES,ST,
S,VOGDES,ST,
E,WALNUT,LN,
W,WALNUT,LN,
E,WALNUT PARK,DR,
W,WALNUT PARK,DR,
N,WANAMAKER,ST,
S,WANAMAKER,ST,
N,WARNOCK,ST,
S,WARNOCK,ST,
E,WASHINGTON,LN,
E,WASHINGTON,LN,N
E,WASHINGTON,LN,S
W,WASHINGTON,LN,
S,WASHINGTON,SQ,
W,WASHINGTON,SQ,
N,WATER,ST,
S,WATER,ST,
N,WATTS,ST,
S,WATTS,ST,
E,WEAVER,ST,
W,WEAVER,ST,
E,WELLENS,ST,
W,WELLENS,ST,
N,WENDLE,ST,
E,WENSLEY,ST,
W,WENSLEY,ST,
E,WESTMORELAND,ST,
W,WESTMORELAND,ST,
E,WILDEY,ST,
W,WILDEY,ST,
E,WILLARD,ST,
W,WILLARD,ST,
E,WILLIAM,ST,
W,WILLIAM,ST,
E,WILLOW GROVE,AVE,
W,WILLOW GROVE,AVE,
E,WILT,ST,
W,WILT,ST,
N,WILTON,ST,
S,WILTON,ST,
E,WINGOHOCKING,ST,
W,WINGOHOCKING,ST,
E,WISHART,ST,
W,WISHART,ST,
W,WISSAHICKON,AVE,
E,WISTER,ST,
W,WISTER,ST,
E,WOODLAWN,ST,
W,WOODLAWN,ST,
N,WOODSTOCK,ST,
S,WOODSTOCK,ST,
E,WYNNEWOOD,RD,
E,WYOMING,AVE,
W,WYOMING,AVE,
N,YEWDALL,ST,
S,YEWDALL,ST,
E,YORK,ST,
W,YORK,ST,
